cdNom,Taille,CouleurPlumes,CouleurPattes,CouleurBec,LongueurBec,FormeBec,EpaisseurBec,NomCommun,ImageFile,FileExtension
4013 ;4015 ;4017 ;4016,2,8;4 ,2;5,8;3 ,2,2,1,Rossignol philomèle,Rossignol_philomele,jpg
4007 ;4008 ;4003 ;4001 ;4004 ;4005 ;4006,1,7;6;1;8;2;4 ,2,1,2,2,1,Rougegorge familier,Rougegorge_familier,jpg
4040 ;4042,1,6;1;2;3 ,1,1,2,2,1,Rougequeue à front blanc,Rougequeue_a_front_blanc,jpg
4035 ;4037 ;4038 ;4039,1,9;6;1;8;2;3 ,1,1,2,2,1,Rougequeue noir,Rougequeue_noir,jpg
4571 ;4573,1,1;8;5 ,1,3;1 ,1,2,2,Serin cini,Serin_cini,jpg
3774 ;3776,1,6;1;2;10;3;4 ,3,1,2;3 ,2,1,Sittelle Torchepot,Sittelle_Torchepot,jpg
4586,1,11;1;5;2 ,2,3,1,2,1,Tarin des aulnes,Tarin_des_aulnes,jpg
3439 ;3441,3,1;8;2;3; ,3,1,2,2,1,Tourterelle des bois,Tourterelle_des_bois,jpg
3429 ;3431,3,1;2;3;4 ,2;3,3;1 ,2,2,2;1,Tourterelle turque,Tourterelle_turque,jpg
3967 ;3970 ;3969,1,8;3;4 ,3,3;1 ,2,2,1,Troglodyte mignon,Troglodyte_mignon,jpg
4580 ;4582,1,11;1;5;2 ,3,3,1,2,1,Verdier d’Europe,Verdier_d_Europe,jpg
